id	locationID	countryCode	establishmentMeans	occurrenceRemarks
8557	BR-PA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-RR	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-AP	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-BA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8557	BR-GO	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8559	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8559	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8559	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8559	BR-SP	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8559	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
8560	BR-SE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-MA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-PA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-PI	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8560	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-RN	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-PA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-MA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-AC	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-PI	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-PB	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-RO	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-AM	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
8561	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia","Mata Atlântica"]}
