id	relatedResourceID	relationshipOfResource
91424	128524	É sinônimo BASIONIMO
125786	128524	É sinônimo BASIONIMO
91423	128524	É sinônimo HOMOTIPICO
124938	84572	É sinônimo BASIONIMO
110001	91021	É sinônimo BASIONIMO
91040	91021	É sinônimo HETEROTIPICO
614965	91021	É sinônimo HOMOTIPICO
120971	109380	É sinônimo HOMOTIPICO
11135	117120	É sinônimo BASIONIMO
63455	61785	É sinônimo HOMOTIPICO
66469	11846	É sinônimo BASIONIMO
57394	36084	É sinônimo BASIONIMO
86271	581875	É sinônimo HOMOTIPICO
606964	581875	É sinônimo BASIONIMO
116974	86298	É sinônimo HOMOTIPICO
607845	86298	É sinônimo HOMOTIPICO
606965	131962	É sinônimo BASIONIMO
66491	37838	É sinônimo HOMOTIPICO
68739	37838	É sinônimo BASIONIMO
124027	13016	É sinônimo HOMOTIPICO
124090	13016	É sinônimo HETEROTIPICO
65877	37839	É sinônimo HOMOTIPICO
66493	37839	É sinônimo HOMOTIPICO
68623	37839	É sinônimo BASIONIMO
68741	37839	É sinônimo HOMOTIPICO
139407	37839	É sinônimo HOMOTIPICO
66504	37840	É sinônimo HOMOTIPICO
68754	37840	É sinônimo BASIONIMO
139764	30770	É sinônimo HETEROTIPICO
582727	582726	É sinônimo HETEROTIPICO
68187	582726	É sinônimo HOMOTIPICO
582728	582726	É sinônimo HOMOTIPICO
82752	104580	É sinônimo BASIONIMO
108257	100881	É sinônimo BASIONIMO
582105	582103	É sinônimo BASIONIMO
108261	100882	É sinônimo BASIONIMO
64744	64733	É sinônimo HETEROTIPICO
64620	64733	É sinônimo HOMOTIPICO
64621	64733	É sinônimo HETEROTIPICO
82761	27856	É sinônimo BASIONIMO
48342	603322	É sinônimo BASIONIMO
48343	603322	É sinônimo HETEROTIPICO
