id	identifier	bibliographicCitation	title	creator	date	type
264		Arch. Jard. Bot. Rio de Janeiro,3: 187,1922	Arch. Jard. Bot. Rio de Janeiro	Ducke, A.	1922	original description
268		Mém. Mus. Hist. Nat.,10: 359,1823	Mém. Mus. Hist. Nat.		1823	
269		Bull. Soc. Philom. Paris,10: 130,1823	Bull. Soc. Philom. Paris	Saint-Hilaire, A.F.C.P.	1823	
270		Gen. Hist.,1: 798,1831	Gen. Hist.	Don, G.	1831	
271		Mém. Mus. Hist. Nat.,10: 394,1824	Mém. Mus. Hist. Nat.		1824	
272		Recueil Trav. Bot. Néerl.,9: 142,1912	Recueil Trav. Bot. Néerl.		1912	
273		Ann. Sci. Nat., Bot.,ser. 2, 17: 138,1842	Ann. Sci. Nat., Bot.	Saint-Hilaire, A. & Tulasne	1842	
274		Bull. Soc. Philom. Paris,3: 130,1823	Bull. Soc. Philom. Paris		1823	
275		Bradea,4(46): 362,1987	Bradea		1987	
276		Bull. Soc. Philom. Paris,10: 359,1823	Bull. Soc. Philom. Paris		1823	
277		Bull. Soc. Philom. Paris,10: 130,1823	Bull. Soc. Philom. Paris		1823	
280		Brittonia,50(1): 59,1998	Brittonia	Kallunki, J.A.	1998	original description
282		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
283		Rev. bras. bot.,59(4): 1085,1990	Rev. bras. bot.		1990	
284		Kew Bull.,53(2): 261-263, f. 1G-J,1998	Kew Bull.		1998	
285		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
286		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
287		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
288		Syst. Veg.,4: 188,1819	Syst. Veg.		1819	
289		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
290		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
291		Acta Amazonica,11(4): 850,1981	Acta Amazonica		1981	
292		Acta Amazonica,11(4): 850,1981	Acta Amazonica		1981	
293		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
294		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
295		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
296		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
298		Revista Brasil. Biol.,50(4): 1086,1990	Revista Brasil. Biol.		1990	
299		Ann. Missouri Bot. Gard.,75: 375,1988	Ann. Missouri Bot. Gard.		1988	
300		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
301		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
302		Acta Amazonica,11: 851,1981	Acta Amazonica		1981	
303		Acta Amazonica,11(4): 851,1981	Acta Amazonica		1981	
304		Revista Brasil. Biol.,50(4): 1087,1990	Revista Brasil. Biol.	Rizzini, C.T.	1990	original description
305		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
306		Ann. Missouri Bot. Gard.,66(2): 125, f. 1,1979	Ann. Missouri Bot. Gard.	Elias, T.S.	1979	
307		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
308		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
309		Fl. Ilustr. Catarin.,Rutaceae: 51,1973	Fl. Ilustr. Catarin.	Cowan, R. S. & Smith, L.B.	1973	
310		Acta Amazonica,11(4): 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
311		Ann. Missouri Bot. Gard.,66(2): 127,1979	Ann. Missouri Bot. Gard.	Elias, T.S.	1979	
312		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
313		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
314		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
315		Kew Bull.,53(2): 263, fig. 1C-F,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
316		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
317		Candollea,45(1): 368,1990	Candollea	Gereau, R.E.	1990	
318		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
319		Kew Bull.,53(2): 264, fig. 1A, B.,1998	Kew Bull.	Kallunki, J.A.	1998	original description
320		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
321		Revista Brasil. Biol.,50(4): 1087,1991	Revista Brasil. Biol.	Rizzini, C. T.	1991	original description
322		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
323		Revista Brasil. Biol.,50(4): 1085,1990	Revista Brasil. Biol.	Rizzini, C. T.	1990	original description
324		Taxon,19: 575,1970	Taxon	Elias, T.S.	1970	
325		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
326		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
327		Candollea,45: 368,1990	Candollea	Gereau, R.E.	1990	
328		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
339		Gard. Dict., ed. 8.1768	Gard. Dict., ed. 8.	Miller	1768	
341		Hooker's Icon. Pl.,13: t. 1203-1204,1877	Hooker's Icon. Pl.		1877	
342		Brittonia,50(3): 359,1998	Brittonia		1998	
343		Nat. Pflanzenfam. [Engler & Prantl],III. 4: 174,1896	Nat. Pflanzenfam. [Engler & Prantl]		1896	
345		Fl. Flumin. Icon.,92,1825	Fl. Flumin. Icon.	Vellozo, J.M. da C.	1825	
348		Mem. Math. Phys. Inst. Par.,1811: 82, t. 10,1811	Mem. Math. Phys. Inst. Par.		1811	
349		Syst. Veg.,1: 780,1825	Syst. Veg.		1825	
350		Syst. Veg.,1: 781,1825	Syst. Veg.		1825	
351		Syst. Veg.,1: 781,1825	Syst. Veg.		1825	
352		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
353		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
354		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
355		Mem. Acad. Roy. Sci. Hist. (Berlin),1802: 27, f.,1804	Mem. Acad. Roy. Sci. Hist. (Berlin)	Willdenow, C.L. von	1804	
401		Fl. Filip. [F.M. Blanco],610.,1837	Fl. Filip. [F.M. Blanco]	Blanco, F.M.	1837	original description
409		Sp. Pl.,2: 782-783,1753	Sp. Pl.	Linnaeus, C.	1753	original description
414		Reise Ostindien China,250,1765	Reise Ostindien China	Osbeck, P.	1765	original description
419		Reise Ostindien China,250,1765	Reise Ostindien China	Osbeck	1765	
432		Rutaceae,14,1834	Rutaceae	Schott	1834	
433		Nomencl. Bot. (ed. 2),1: 399,1840	Nomencl. Bot. (ed. 2)	Steudel, E.	1840	
434		Rutaceae,14,1834	Rutaceae	Schott	1834	
435		Rutaceae,14,1834	Rutaceae	Schott	1834	
436		Rutaceae,13, t. 7,1834	Rutaceae	Schott	1834	
437		Rutaceae,14,1834	Rutaceae	Schott	1834	
439		Ver. Bot. Vereins Prov. Brandenburg,47: 154,1905	Ver. Bot. Vereins Prov. Brandenburg	Pilger	1905	original description
440		Revista Brasileira de Biologia,50(4): 1085,1990	Revista Brasileira de Biologia	Rizzini, C. T.	1990	original description
441		Kew Bull.,53(2): 275, fig. 2.,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
442		Kew Bull.,53(2): 276-278, f. 3,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
443		Kew Bull.,53(2): 278, 280-281, f. 4,1998	Kew Bull.		1998	
445		Kew Bull.,53(2): 282-285, f. 5A-B, 6,1998	Kew Bull.	Kallunki, J.A.	1998	original description
447		Kew Bull.,53(2): 285, fig 7,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
448		Kew Bull.,53(2): 286, fig. 8A-E,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
449		Kew Bull.,53(2): 290-291, f. 8F-N,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
450		Kew Bull.,53(2): 291,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
451		Kew Bull.,3: 306,1948	Kew Bull.	Sandwith, N.Y.	1948	original description
452		Kew Bull.,53(2): 292, fig. 9,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
453		Kew Bull.,53(2): 294,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
454		Kew Bull.,53(2): 294, fig. 10A-E,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
456		Kew Bull.,53(2): 295-298, f. 11A-D,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
458		Kew Bull.,53(2): 299,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
459		Kew Bull.,53(2): 299-300, f. 11E-L,1998	Kew Bull.	Kallunki, J.A.	1998	original description
460		Recueil Trav. Bot. Néerl.,9: 142,1912	Recueil Trav. Bot. Néerl.	Pulle	1912	original description
461		Bull. Sci. Soc. Philom. Paris,10: 132,1823	Bull. Sci. Soc. Philom. Paris	Saint Hilaire, A.	1823	original description
462		Kew Bull.,53(2): 301-303, f. 12,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
463		Kew Bull.,53(2): 303-305, f. 5G, 13F-L,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
464		Kew Bull.,53(2): 305-308, f. 5H, J, 14,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
465		Lilloa,17: 225,1949	Lilloa	Tamayo & Croat	1949	original description
466		Kew Bull.,53(2): 308,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
467		Kew Bull.,53(2): 308-309, f. 10F-L,1998	Kew Bull.	Kallunki, J.A.	1998	original description
468		Flora Brasilensis,12(2): 121,1874	Flora Brasilensis	Engler, A.	1874	original description
469		Del. Fl. Faun. Bras.,1: pl. 2,1820	Del. Fl. Faun. Bras.	Mikan, J.C.	1820	original description
470		Revista Brasileira de Biologia,50(4): 1087,1990	Revista Brasileira de Biologia	Rizzini, C. T.	1990	original description
471		Kew Bull.,53(2): 310-312, f. 13A-E,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
472		Kew Bull.,53(2): 312-314, f. 15A-E,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
473		Kew Bull.,53(2): 314,1998	Kew Bull.		1998	
474		Nova Acta  Phys.-Med. Acad. Caes. Leop.-Carol. Nat,11: 170,1823	Nova Acta  Phys.-Med. Acad. Caes. Leop.-Carol. Nat	Nees von Esenbeck, C.G.D. & Martius, C.F.P.	1823	original description
475		Kew Bull.,53(2): 314,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
476		Kew Bull.,53(2): 315, fig. 16,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
477		Ann. Sci. Nat. (Paris),17: 139,1842	Ann. Sci. Nat. (Paris)	Saint-Hilaire, A. & Tulasne	1842	original description
478		Kew Bull.,53(2): 317,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
479		Kew Bull.,53(2): 317,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
480		Kew Bull.,53(2): 318-319, f. 15F-K,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
481		Kew Bull.,53(2): 319,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
482		Kew Bull.,53(2): 319-320, f. 17A-G,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
483		Kew Bull.,53(2): 320,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
484		Kew Bull.,53(2): 320, fig. 17H-M,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
485		Kew Bull.,53(2): 322,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
486		Kew Bull.,53(2): 323,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
487		Kew Bull.,53(2): 323,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
489		Fl. Flumin. Icon.,[text] 19, [icones] 1: t. 48,1829, 1835	Fl. Flumin. Icon.	Vellozo, J.M.C.	1829, 1835	original description
492		Verh. Bot. Vereins Prov. Brandenburg,47: 154,1905	Verh. Bot. Vereins Prov. Brandenburg	Pilger	1905	original description
493		Pl. Nam. ed. 2,153,1907	Pl. Nam. ed. 2	Lyons, Albert Brown	1907	
494		Fl. bras.,12 (2): 119,1874	Fl. bras.	Engler, A.	1874	
495		Fl. bras.,12(2): 116,1874	Fl. bras.	Engler, A.	1874	
496		Fl. bras.,12(2): 121,1874	Fl. bras.	Engler, A.	1874	
497		Bot. Jahrb. Syst.,34: 4,1892	Bot. Jahrb. Syst.	Taubert, P.	1892	original description
498		Kew Bull.,1948: 306,1948	Kew Bull.	Sandwith, N.Y.	1948	original description
499		Essai Géogr. Pl.,58,1807	Essai Géogr. Pl.	Humboldt, F.W.H.A.	1807	original description
500		Fl. bras.,12(2): 122,1874	Fl. bras.	Engler, A.	1874	
501		Fl. bras.,12(2): 116,	Fl. bras.	Engler, A.		
502		Bot. Jahrb. Syst.,34: 5,1892	Bot. Jahrb. Syst.	Taubert, P.	1892	original description
503		Fl. bras.,Fl. bras. 12(2): 112, t. 23,1874	Fl. bras.	Engler, A.	1874	original description
504		Fl. bras.,12(2): 114,1874	Fl. bras.	Engler, A.	1874	
505		Fl. bras.,12(2): 121,1874	Fl. bras.	Engler, A.	1874	original description
506		Fl. bras.,12(2): 115,1874	Fl. bras.	Engler, A.	1874	
507		Revista Acad. Colomb. Ci. Exact.,8(32): 465,1952	Revista Acad. Colomb. Ci. Exact.	Cuatrecasas, J.	1952	original description
508		Fl. bras.,12(2): 119,1874	Fl. bras.	Engler, A.	1874	
509		Fl. bras.,12(2): 123,1874	Fl. bras.	Engler, A.	1874	original description
510		Fl. bras.,12(2): 118,1874	Fl. bras.	Engler, A.	1874	
511		Fl. bras.,12(2): 118, tab. 25,1874	Fl. bras.	Engler, A.	1874	
512		Nat. Pflanzenfam. [Engler & Prantl],3(4): 167,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
513		Fl. bras.,12(2): 117,1874	Fl. bras.	Engler, A.	1874	
514		Fl. bras.,12(2): 120, pl. 24, f. 2,1874	Fl. bras.	Engler, A.	1874	original description
515		Fl. bras.,12(2): 122,1874	Fl. bras.	Engler, A.	1874	
516		Fl. bras.,12(2): 120,1874	Fl. bras.	Engler, A.	1874	
517		Bull. New York Bot. Gard.,8(28): 98-99,1912	Bull. New York Bot. Gard.	Rusby	1912	original description
518		Fl. bras.,12(2): 111,1874	Fl. bras.	Engler, A.	1874	original description
519		Fl. bras.,12(2): 113,1874	Fl. bras.	Engler, A.	1874	
520		Arch. Jard. Bot. Rio de Janeiro,4: 100,1925	Arch. Jard. Bot. Rio de Janeiro	Ducke, A	1925	original description
521		Fl. bras.,12(2): 114, tab. 24, fig. 1.,1874	Fl. bras.	Engler, A.	1874	original description
522		Fl. bras.,12(2): 113,1874	Fl. bras.	Engler, A.	1874	
523		Arch. Jard. Bot. Rio de Janeiro,3: 183,1922	Arch. Jard. Bot. Rio de Janeiro	Ducke, A.	1922	original description
524		Bol. Mus. Paraense Hist. Nat. Ethnogr.,4: 573, fig. 4,1906	Bol. Mus. Paraense Hist. Nat. Ethnogr.	Huber, J.	1906	original description
525		Repert. Spec. Nov. Regni Veg. Beih.,2: 26,1906	Repert. Spec. Nov. Regni Veg. Beih.	Krause, K.	1906	original description
526		Gard. Chron. ser. 3,12: 396,1892	Gard. Chron. ser. 3	Hemsley, W.B.	1892	original description
529		Fl. Flumin. Icon.,[texto] 1: 27, [icones] 1: tab. 16,1831	Fl. Flumin. Icon.	Vellozo, J.M.C.	1831	original description
531		Mem. New York Bot. Gard.,10(1): 153,1958	Mem. New York Bot. Gard.	Cowan, R. S.	1958	original description
532		Mem. New York Bot. Gard.,10(1): 155,1958	Mem. New York Bot. Gard.		1958	
540		Prodr.,2: 89,1825	Prodr.	De Candolle, A. P.	1825	original description
541		London J. Bot.,5: 583,1846	London J. Bot.	Planchon	1846	original description
542		Mém. Mus. Hist. Nat.,12: 499,1825	Mém. Mus. Hist. Nat.	Jussieu, A.L.	1825	original description
544		Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.,11: 170, t. 19F & 25,1823	Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.	Nees von Esenbeck, C.G.D. & Martius, C.F.P.	1823	original description
550		Prodr.,2: 89,1825	Prodr.	Candolle, A.P. de	1825	
552		Bull. Soc. Imp. Naturalistes Moscou,36 (2): 227,1863	Bull. Soc. Imp. Naturalistes Moscou	Turczaninow, N.S.	1863	
555		Revis. Gen. Pl.,1: 100,1891	Revis. Gen. Pl.	Kuntze, O.	1891	
557		Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.,11: 166-167, t. 22,1823	Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.	Esenbeck, C.G.N. von & Martius, C.F.P.	1823	original description
559		Mem. Torrey Bot. Club,60: 356,1933	Mem. Torrey Bot. Club	Morton, C.V.	1933	original description
566		Bot. Mag.,82: tab. 4948,1856	Bot. Mag.	Hooker	1856	original description
567		Notizbl. Königl. Bot. Gart. Berlin,6: 146,1914	Notizbl. Königl. Bot. Gart. Berlin	Krause, K.	1914	original description
569		Brittonia,44(2): 135-136,1992	Brittonia	Kallunki, J.A.	1992	original description
570		Verh. Bot. Vereins Prov. Brandenburg,47: 153,1905	Verh. Bot. Vereins Prov. Brandenburg	Pilger	1905	original description
573		Acta Bot. Neerl.,26(6): 481, t. 6,1977	Acta Bot. Neerl.	Kaastra, R.	1977	original description
575		Acta Bot. Neerl.,26: 477, t. 4,1978	Acta Bot. Neerl.		1978	
576		Mem. Torrey Bot. Club,60: 358,1933	Mem. Torrey Bot. Club	Smith, A.C.	1933	original description
578		Novon,22(3); 288-291,2013	Novon	Dias, P. et al.	2013	
579		Bot. Jahrb. Syst.,54: 28,1896	Bot. Jahrb. Syst.	Engler, A.	1896	original description
580		Bot. J. Linn. Soc.,129(4): 306,1999	Bot. J. Linn. Soc.	Pirani, J.R.	1999	
581		Repert. Spec. Nov. Regni Veg. Beih.,10: 344,1912	Repert. Spec. Nov. Regni Veg. Beih.	Hassler, E.	1912	original description
582		Revista Engen.,5: 1,1883	Revista Engen.	Barbosa-Rodrigues, J.	1883	original description
583		Nov. Gen. Sp. Pl.,3: 82, t.233,1831	Nov. Gen. Sp. Pl.	C.P.F. von Martius	1831	original description
584		Bull. Herb. Boissier,4: 1285,1904	Bull. Herb. Boissier		1904	
585		Repert. Spec. Nov. Regni Veg. Beih.,10: 345,1912	Repert. Spec. Nov. Regni Veg. Beih.	Hassler, E.	1912	
587		Bot. Jahrb. Syst.,21(54): 27,1896	Bot. Jahrb. Syst.	Engl.	1896	original description
588		Sellowia,12: 89, pl. 3, f. g-j,1960	Sellowia	R.S.Cowan	1960	original description
590		Acta Bot. Neerl.,26: 475,1977	Acta Bot. Neerl.	Kaastra	1977	original description
593		Acta Bot. Neerl.,26: 475,1977	Acta Bot. Neerl.	Kaastra	1977	original description
594		Bull. Herb. Boissier,4: 1285,1904	Bull. Herb. Boissier	Chodat & Hassler, E.	1904	
595		Publ. Field Mus. Nat. Hist., Bot. Ser.,13(3/2): 672-673,1949	Publ. Field Mus. Nat. Hist., Bot. Ser.	Macbride, J.F.	1949	
596		Nat. Pflanzenfam. [Engler & Prantl],3(4): 159,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1896	
597		Fl. bras.,12(2): 147, t. 32, f. 2,1874	Fl. bras.	Engler, H.G.A.	1874	
598		Acta Bot. Neerl.,26: 473, t. 2,1977	Acta Bot. Neerl.	Kaastra	1977	original description
599		Bot. J. Linn. Soc.,129(4): 307, f. 2-3,1999	Bot. J. Linn. Soc.	Pirani, J.R.	1999	
600		Nov. Gen. Sp. Pl.,3: 84, t. 234,1831	Nov. Gen. Sp. Pl.	C.P.F. von Martius	1831	original description
602		Bull. Soc. Imp. Naturalistes Moscou,31(1): 440,1858	Bull. Soc. Imp. Naturalistes Moscou	Turczaninow, N.S.	1858	original description
603		Bull. New York Bot. Gard.,8(28): 98,1912	Bull. New York Bot. Gard.	Rusby, H.H.	1912	original description
604		Nov. Gen. Sp. Pl.,3: 82, t. 232,1831	Nov. Gen. Sp. Pl.	C.P.F. von Martius	1831	original description
605		Linnaea,22: 796,1850	Linnaea	Miquel, F.A.W.	1850	original description
606		Acta Bot. Neerl.,26: 475, t. 3,1977	Acta Bot. Neerl.	Kaastra, R.	1977	original description
607		Nov. Gen. Sp. (quarta ed.),7: 248, t. 655,1825	Nov. Gen. Sp. (quarta ed.)	Kunth in H.B.K.	1825	original description
608		Fl. bras.,12(2): 144,1874	Fl. bras.	Engler, H.G.A.	1874	
609		Acta Bot. Neerl.,26: 477,1977	Acta Bot. Neerl.	Kaastra, R.	1977	original description
611		Pl. Bras.,2: 44, t. 128,1830	Pl. Bras.	Pohl, J.E.	1830	original description
612		Fl. bras.,12(2): 143,1874	Fl. bras.	Engler, H.G.A.	1874	
613		Fl. bras.,12(2): 144,1874	Fl. bras.	Engler, H.G.A.	1874	
614		Fl. bras.,12(2): 144,1874	Fl. bras.	Engler, H.G.A.	1874	
615		Fl. bras.,12(2): 142,1874	Fl. bras.	Engler, H.G.A.	1874	original description
616		Bol. Mus. Nac. Rio de Janeiro,27: 1,1961	Bol. Mus. Nac. Rio de Janeiro	Cowan, R.S.	1961	original description
617		Acta Bot. Neerl.,26: 479, t. 5,1977	Acta Bot. Neerl.	Kaastra, R.	1977	original description
624		Mém. Mus. Hist. Nat.,10: 146, 155, 159,1823	Mém. Mus. Hist. Nat.	Saint-Hilaire, A.F.C.P.	1823	original description
629		Notizbl. Königl. Bot. Gart. Berlin,6: 143,1914	Notizbl. Königl. Bot. Gart. Berlin	Krause, K.	1914	original description
631		Nat. Pflanzenfam. [Engler & Prantl],19a: 220,1931	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1931	
632		Prodr.,33,1788	Prodr.	Swartz, O.	1788	original description
633		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1896	
634		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 11, fig. 10,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
635		Bull. Misc. Inform. Kew,3: 120,1935	Bull. Misc. Inform. Kew	Sandwith, N.Y.	1935	original description
636		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
637		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1896	
638		Sellowia,12: 81,1960	Sellowia	Cowan, R. S.	1960	original description
639		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Krug & Urb.	1896	
640		Bol. Mus. Paraense Hist. Nat. Ethnogr.,5: 422,1909	Bol. Mus. Paraense Hist. Nat. Ethnogr.	Huber, J.	1909	original description
642		Bull. Herb. Boissier,4: 1282,1904	Bull. Herb. Boissier	Chodat & Hassler, E.	1904	
644		Nat. Pflanzenfam. [Engler & Prantl],3(4): 118,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
645		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 12., fig. 11,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	
646		Bull. Herb. Boissier,sér. 2, 7: 1001,1907	Bull. Herb. Boissier	Fries, R.E.	1907	original description
647		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1896	original description
648		Revis. Gen. Pl.,3(2): 34,1898	Revis. Gen. Pl.	Kuntze	1898	original description
649		Mant.,3: 224,1827	Mant.	Schultes & Schultes f.	1827	
652		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 3, fig. 1,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
653		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 9, fig. 7 e 8,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
654		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 6, t. 4,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
655		Bot. Jahrb. Syst.,21(54): 22,1896	Bot. Jahrb. Syst.	Engler, A.	1896	
656		Repert. Spec. Nov. Regni Veg. Beih.,20: 302,1924	Repert. Spec. Nov. Regni Veg. Beih.	Urban, I.	1924	original description
658		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
659		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Krug & Urb.	1896	original description
660		Revis. Gen. Pl.,3(2): 34,1898	Revis. Gen. Pl.	Kuntze, O.	1898	
661		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
662		Bot. Jahrb. Syst.,21(54): 21,1896	Bot. Jahrb. Syst.	Engler, A.	1896	original description
663		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 7, fig. 5,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
664		Bull. Herb. Boissier,4: 1284,1904	Bull. Herb. Boissier	Chodat, E.	1904	original description
666		Bot. Jahrb. Syst.,21(Beibl. 54): 24,1896	Bot. Jahrb. Syst.	Engler, A.	1896	
667		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
668		Publ. Inst. Nac. Pesq. Amazônia Bot.,27: 8, fig. 6,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	original description
669		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]	Engler, A.	1896	
670		Nat. Pflanzenfam. [Engler & Prantl],19a: 220,1931	Nat. Pflanzenfam. [Engler & Prantl]	Engler, H.G.A.	1931	
671		Sellowia,12: 84,1960	Sellowia	Cowan, R. S.	1960	original description
672		Bull. Misc. Inform. Bot. Dept. Imp. Coll. Agric.,3: 120,1935	Bull. Misc. Inform. Bot. Dept. Imp. Coll. Agric.	Sandwith, N.Y.	1935	
673		Nat. Pflanzenfam. [Engler & Prantl],3(4): 117,1896	Nat. Pflanzenfam. [Engler & Prantl]		1896	
674		Enum. Pl. [Kunth],1: 165,1809	Enum. Pl. [Kunth]	Willdenow, C.	1809	original description
675		Publ. Inst. Nac. Pesq. Amazônia Bot.,28: 5, t. 3,1968	Publ. Inst. Nac. Pesq. Amazônia Bot.	Albuquerque, B.W.P.	1968	
676		Acta Amazonica,1: 24,1971	Acta Amazonica		1971	
