id	identifier	bibliographicCitation	title	creator	date	type
108835		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108837		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108838		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108839		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108841		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108843		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108845		Acta Bot. Brasil.,17(1): 147-154,2003	Acta Bot. Brasil.	Alves-da-Silva & Bicudo, C.E.	2003	original description
108847		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108848		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108849		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108850		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108851		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108852		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108854		Mycotaxon,121: 93–132.,2012.	Mycotaxon	Torres-Torres, M.G. et al.	2012.	
108857		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108859		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108860		Hoehnea,35: 489-511.,2008	Hoehnea	Bononi, V.L.R. et al.	2008	
108861		Amazoniana,2: 243-283,1974	Amazoniana	Uherkovich, G. & Schmidt, G.W.	1974	
108862		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108863		Acta Bot. Brasil.,17(1): 147-154,2003	Acta Bot. Brasil.	Alves-da-Silva & Bicudo, C.E.	2003	original description
108865		Boletim do Museu Botânico Municipal,68: 1–55.,2006	Boletim do Museu Botânico Municipal	Meijer, A.A.R.	2006	
108865		Macrofungos notáveis das Florestas de Pinheiro-do-Paraná2008	Macrofungos notáveis das Florestas de Pinheiro-do-Paraná	Meijer, A.A.R.	2008	
108866		Biblioth. Phycol.,92: 1-81,1992	Biblioth. Phycol.	Franceschini, I.M.	1992	
108867		Rev. Brasil. Biol.,51(4): 813-828,1991	Rev. Brasil. Biol.	Alves-da-Silva, S.M. et al.	1991	
108869		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108873		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108874		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108876		Mycotaxon,109: 439-442.,2009	Mycotaxon	Baltazar, J.M. & Gibertoni, T.B.	2009	
108877		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  & Bridi, F.C.	2004	
108878		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M. & Tamanaha, M.	2008	
108879		Boletim do Museu Botânico Municipal,68: 1-55.,2006	Boletim do Museu Botânico Municipal	Meijer, A.A.R.	2006	
108880		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Tamanaha, M.	2008	
108882		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108884		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108886		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M. & Tamanaha, M.	2008	
108887		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108888		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M. &Tamanaha, M.	2008	
108889		Iheringia, Bot.,45: 117-142,1994	Iheringia, Bot.	Jati, S. & Train, S.	1994	
108890		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108891		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108893		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108894		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108895		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108896		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108900		Acta Bot. Brasil.,22(1): 145-163,2008	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Tamanaha, M.	2008	
108901		Mycotaxon,105: 447–454.,2008	Mycotaxon	Torres-Torres, M.G. et al.	2008	
108904		Acta Bot. Brasil.,18(3): 555-572,2004	Acta Bot. Brasil.	Alves-da-Silva, S.M.  Bridi, F.C.	2004	
108905		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108906		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
108907		Rev. Hydrobiol. trop.,26(3): 187-197,1993	Rev. Hydrobiol. trop.	Conforti, V.	1993	
